compound: 0.99, neg: 0.013, neu: 0.745, pos: 0.242, 
compound: -0.25, neg: 0.083, neu: 0.835, pos: 0.083, 
compound: 0.6894, neg: 0.075, neu: 0.833, pos: 0.092, 
compound: 0.9997, neg: 0.05, neu: 0.604, pos: 0.345, 
compound: 0.9507, neg: 0.043, neu: 0.847, pos: 0.11, 
compound: 0.9974, neg: 0.042, neu: 0.705, pos: 0.253, 
compound: 0.4588, neg: 0.039, neu: 0.899, pos: 0.063, 
compound: 0.9929, neg: 0.066, neu: 0.702, pos: 0.232, 
compound: 0.7351, neg: 0.045, neu: 0.887, pos: 0.068, 
compound: 0.9631, neg: 0.073, neu: 0.797, pos: 0.13, 
compound: 0.9959, neg: 0.0, neu: 0.753, pos: 0.247, 
compound: 0.9803, neg: 0.019, neu: 0.885, pos: 0.095, 
compound: 0.9118, neg: 0.069, neu: 0.792, pos: 0.139, 
compound: 0.9769, neg: 0.014, neu: 0.873, pos: 0.113, 
compound: 0.8908, neg: 0.092, neu: 0.774, pos: 0.134, 
compound: 0.1027, neg: 0.022, neu: 0.953, pos: 0.025, 
compound: -0.8482, neg: 0.1, neu: 0.821, pos: 0.079, 
compound: 0.9741, neg: 0.038, neu: 0.811, pos: 0.151, 
compound: -0.9953, neg: 0.209, neu: 0.777, pos: 0.013, 
compound: 0.9628, neg: 0.017, neu: 0.876, pos: 0.106, 
compound: 0.8016, neg: 0.035, neu: 0.857, pos: 0.108, 
compound: -0.8889, neg: 0.116, neu: 0.827, pos: 0.057, 
compound: -0.9598, neg: 0.1, neu: 0.878, pos: 0.022, 
compound: -0.8024, neg: 0.097, neu: 0.823, pos: 0.08, 
compound: 0.93, neg: 0.007, neu: 0.926, pos: 0.067, 
compound: 0.4351, neg: 0.032, neu: 0.92, pos: 0.048, 
compound: -0.4215, neg: 0.11, neu: 0.793, pos: 0.097, 
compound: 0.7158, neg: 0.091, neu: 0.811, pos: 0.099, 
compound: 0.992, neg: 0.047, neu: 0.841, pos: 0.112, 
compound: 0.9931, neg: 0.005, neu: 0.837, pos: 0.158, 
compound: 0.9913, neg: 0.086, neu: 0.779, pos: 0.135, 
compound: -0.7184, neg: 0.062, neu: 0.897, pos: 0.041, 
compound: -0.872, neg: 0.073, neu: 0.881, pos: 0.045, 
compound: 0.9895, neg: 0.014, neu: 0.808, pos: 0.178, 
compound: 0.9231, neg: 0.0, neu: 0.885, pos: 0.115, 
compound: 0.9803, neg: 0.019, neu: 0.885, pos: 0.095, 
compound: 0.989, neg: 0.009, neu: 0.802, pos: 0.189, 
compound: 0.9886, neg: 0.03, neu: 0.765, pos: 0.205, 
compound: 0.9247, neg: 0.088, neu: 0.783, pos: 0.128, 
compound: 0.9994, neg: 0.048, neu: 0.79, pos: 0.162, 
compound: 0.994, neg: 0.025, neu: 0.837, pos: 0.139, 
compound: 0.9894, neg: 0.039, neu: 0.835, pos: 0.126, 
compound: 0.989, neg: 0.019, neu: 0.808, pos: 0.173, 
compound: -0.7909, neg: 0.129, neu: 0.775, pos: 0.096, 
compound: 0.9655, neg: 0.018, neu: 0.856, pos: 0.126, 
compound: -0.1198, neg: 0.039, neu: 0.931, pos: 0.031, 
compound: 0.9812, neg: 0.028, neu: 0.863, pos: 0.109, 
compound: 0.9861, neg: 0.015, neu: 0.81, pos: 0.175, 
compound: 0.2605, neg: 0.039, neu: 0.927, pos: 0.035, 
compound: -0.9918, neg: 0.11, neu: 0.837, pos: 0.053, 
compound: 0.9963, neg: 0.032, neu: 0.817, pos: 0.152, 
compound: 0.9839, neg: 0.006, neu: 0.904, pos: 0.09, 
compound: 0.2846, neg: 0.055, neu: 0.84, pos: 0.104, 
compound: 0.9894, neg: 0.039, neu: 0.835, pos: 0.126, 
compound: 0.946, neg: 0.029, neu: 0.884, pos: 0.086, 
compound: 0.7962, neg: 0.034, neu: 0.9, pos: 0.066, 
compound: 0.9909, neg: 0.021, neu: 0.847, pos: 0.132, 
compound: -0.9916, neg: 0.186, neu: 0.728, pos: 0.086, 
compound: 0.9919, neg: 0.01, neu: 0.783, pos: 0.208, 
compound: -0.25, neg: 0.035, neu: 0.924, pos: 0.041, 
compound: 0.7893, neg: 0.04, neu: 0.901, pos: 0.06, 
compound: 0.9997, neg: 0.033, neu: 0.67, pos: 0.297, 
compound: -0.9823, neg: 0.156, neu: 0.844, pos: 0.0, 
compound: -0.8886, neg: 0.117, neu: 0.794, pos: 0.089, 
compound: 0.9967, neg: 0.014, neu: 0.751, pos: 0.235, 
compound: 0.9607, neg: 0.014, neu: 0.85, pos: 0.136, 
compound: 0.9812, neg: 0.028, neu: 0.863, pos: 0.109, 
compound: 0.9894, neg: 0.012, neu: 0.865, pos: 0.124, 
compound: 0.9451, neg: 0.021, neu: 0.873, pos: 0.105, 
compound: -0.6152, neg: 0.077, neu: 0.859, pos: 0.064, 
compound: -0.34, neg: 0.045, neu: 0.917, pos: 0.039, 
compound: 0.8442, neg: 0.023, neu: 0.918, pos: 0.059, 
compound: 0.7739, neg: 0.01, neu: 0.942, pos: 0.049, 
compound: 0.4215, neg: 0.042, neu: 0.894, pos: 0.064, 
compound: 0.7549, neg: 0.082, neu: 0.829, pos: 0.089, 
compound: 0.9082, neg: 0.056, neu: 0.851, pos: 0.093, 
compound: -0.4939, neg: 0.092, neu: 0.825, pos: 0.083, 
compound: -0.9957, neg: 0.219, neu: 0.757, pos: 0.025, 
compound: -0.6538, neg: 0.099, neu: 0.82, pos: 0.081, 
compound: 0.9375, neg: 0.051, neu: 0.834, pos: 0.115, 
compound: 0.9682, neg: 0.021, neu: 0.868, pos: 0.11, 
compound: -0.8593, neg: 0.132, neu: 0.779, pos: 0.09, 
compound: 0.9027, neg: 0.048, neu: 0.854, pos: 0.098, 
compound: 0.9493, neg: 0.057, neu: 0.831, pos: 0.112, 
compound: 0.9901, neg: 0.0, neu: 0.847, pos: 0.153, 
compound: 0.6977, neg: 0.038, neu: 0.884, pos: 0.077, 
compound: -0.785, neg: 0.093, neu: 0.85, pos: 0.057, 
compound: 0.9623, neg: 0.022, neu: 0.853, pos: 0.125, 
compound: -0.9675, neg: 0.109, neu: 0.867, pos: 0.024, 
compound: 0.995, neg: 0.031, neu: 0.86, pos: 0.109, 
compound: 0.9739, neg: 0.051, neu: 0.842, pos: 0.108, 
compound: 0.9601, neg: 0.019, neu: 0.896, pos: 0.085, 
compound: 0.9826, neg: 0.008, neu: 0.889, pos: 0.103, 
compound: 0.9908, neg: 0.036, neu: 0.768, pos: 0.196, 
compound: 0.9267, neg: 0.02, neu: 0.886, pos: 0.094, 
compound: 0.9658, neg: 0.087, neu: 0.749, pos: 0.164, 
compound: 0.9612, neg: 0.011, neu: 0.893, pos: 0.095, 
compound: 0.996, neg: 0.013, neu: 0.704, pos: 0.283, 
compound: 0.9874, neg: 0.028, neu: 0.833, pos: 0.139, 
compound: 0.9984, neg: 0.018, neu: 0.772, pos: 0.211, 
compound: -0.3707, neg: 0.072, neu: 0.868, pos: 0.06, 
compound: -0.9102, neg: 0.072, neu: 0.877, pos: 0.051, 
compound: 0.9349, neg: 0.04, neu: 0.863, pos: 0.097, 
compound: -0.9732, neg: 0.18, neu: 0.687, pos: 0.133, 
compound: 0.9986, neg: 0.044, neu: 0.643, pos: 0.313, 
compound: 0.9971, neg: 0.038, neu: 0.797, pos: 0.165, 
compound: -0.09, neg: 0.067, neu: 0.857, pos: 0.076, 
compound: 0.9042, neg: 0.054, neu: 0.841, pos: 0.106, 
compound: 0.3818, neg: 0.013, neu: 0.966, pos: 0.022, 
compound: 0.9994, neg: 0.057, neu: 0.649, pos: 0.293, 
compound: 0.9663, neg: 0.035, neu: 0.872, pos: 0.093, 
compound: 0.7193, neg: 0.092, neu: 0.826, pos: 0.082, 
compound: 0.908, neg: 0.063, neu: 0.834, pos: 0.103, 
compound: 0.8591, neg: 0.088, neu: 0.789, pos: 0.123, 
compound: 0.7829, neg: 0.041, neu: 0.895, pos: 0.064, 
compound: 0.9876, neg: 0.005, neu: 0.874, pos: 0.121, 
compound: 0.9891, neg: 0.02, neu: 0.808, pos: 0.172, 
compound: -0.9201, neg: 0.101, neu: 0.885, pos: 0.014, 
compound: -0.979, neg: 0.127, neu: 0.848, pos: 0.025, 
compound: 0.25, neg: 0.027, neu: 0.934, pos: 0.039, 
compound: 0.9844, neg: 0.013, neu: 0.839, pos: 0.148, 
compound: -0.9841, neg: 0.095, neu: 0.85, pos: 0.055, 
compound: 0.9601, neg: 0.041, neu: 0.868, pos: 0.09, 
compound: 0.9969, neg: 0.093, neu: 0.617, pos: 0.291, 
compound: 0.9623, neg: 0.022, neu: 0.853, pos: 0.125, 
compound: 0.967, neg: 0.06, neu: 0.778, pos: 0.162, 
compound: 0.2823, neg: 0.058, neu: 0.869, pos: 0.073, 
compound: 0.93, neg: 0.066, neu: 0.811, pos: 0.123, 
compound: 0.991, neg: 0.031, neu: 0.8, pos: 0.17, 
