compound: 0.9617, neg: 0.056, neu: 0.783, pos: 0.16, 
compound: 0.9253, neg: 0.068, neu: 0.847, pos: 0.084, 
compound: 0.494, neg: 0.037, neu: 0.916, pos: 0.047, 
compound: 0.997, neg: 0.088, neu: 0.724, pos: 0.187, 
compound: 0.9799, neg: 0.06, neu: 0.79, pos: 0.15, 
compound: -0.6024, neg: 0.054, neu: 0.89, pos: 0.056, 
compound: 0.9803, neg: 0.018, neu: 0.772, pos: 0.21, 
compound: 0.8974, neg: 0.055, neu: 0.84, pos: 0.105, 
compound: 0.9242, neg: 0.054, neu: 0.834, pos: 0.112, 
compound: 0.997, neg: 0.066, neu: 0.763, pos: 0.171, 
compound: 0.9946, neg: 0.06, neu: 0.752, pos: 0.188, 
compound: -0.3811, neg: 0.11, neu: 0.793, pos: 0.097, 
compound: 0.9963, neg: 0.078, neu: 0.76, pos: 0.162, 
compound: 0.4478, neg: 0.094, neu: 0.806, pos: 0.1, 
compound: 0.9913, neg: 0.06, neu: 0.815, pos: 0.125, 
compound: 0.991, neg: 0.058, neu: 0.801, pos: 0.14, 
compound: 0.9231, neg: 0.06, neu: 0.849, pos: 0.092, 
compound: 0.962, neg: 0.027, neu: 0.907, pos: 0.066, 
compound: 0.9497, neg: 0.032, neu: 0.861, pos: 0.107, 
compound: -0.8884, neg: 0.109, neu: 0.819, pos: 0.072, 
compound: 0.9994, neg: 0.047, neu: 0.809, pos: 0.144, 
compound: 0.9842, neg: 0.0, neu: 0.848, pos: 0.152, 
compound: -0.9186, neg: 0.097, neu: 0.842, pos: 0.061, 
compound: 0.9991, neg: 0.019, neu: 0.776, pos: 0.205, 
compound: 0.8512, neg: 0.019, neu: 0.89, pos: 0.09, 
compound: 0.128, neg: 0.065, neu: 0.862, pos: 0.073, 
compound: 0.9974, neg: 0.061, neu: 0.805, pos: 0.134, 
compound: 0.993, neg: 0.069, neu: 0.764, pos: 0.166, 
compound: 0.8658, neg: 0.108, neu: 0.757, pos: 0.135, 
compound: 0.9994, neg: 0.047, neu: 0.809, pos: 0.144, 
compound: 0.9932, neg: 0.046, neu: 0.767, pos: 0.187, 
compound: -0.9623, neg: 0.112, neu: 0.841, pos: 0.046, 
compound: 0.9304, neg: 0.051, neu: 0.846, pos: 0.103, 
compound: 0.9489, neg: 0.064, neu: 0.827, pos: 0.109, 
compound: 0.9887, neg: 0.011, neu: 0.879, pos: 0.11, 
compound: -0.4897, neg: 0.123, neu: 0.791, pos: 0.087, 
compound: 0.969, neg: 0.032, neu: 0.843, pos: 0.125, 
compound: -0.8637, neg: 0.102, neu: 0.834, pos: 0.064, 
compound: 0.9738, neg: 0.0, neu: 0.839, pos: 0.161, 
compound: 0.8264, neg: 0.049, neu: 0.851, pos: 0.1, 
compound: 0.987, neg: 0.009, neu: 0.85, pos: 0.141, 
compound: 0.996, neg: 0.043, neu: 0.76, pos: 0.197, 
compound: 0.8201, neg: 0.023, neu: 0.92, pos: 0.057, 
compound: 0.9735, neg: 0.0, neu: 0.847, pos: 0.153, 
compound: -0.7567, neg: 0.117, neu: 0.827, pos: 0.057, 
compound: 0.0772, neg: 0.088, neu: 0.813, pos: 0.099, 
compound: -0.9065, neg: 0.128, neu: 0.789, pos: 0.083, 
compound: -0.8357, neg: 0.111, neu: 0.787, pos: 0.102, 
compound: -0.9353, neg: 0.115, neu: 0.805, pos: 0.079, 
compound: 0.986, neg: 0.065, neu: 0.703, pos: 0.232, 
compound: 0.9923, neg: 0.03, neu: 0.841, pos: 0.13, 
compound: 0.9076, neg: 0.056, neu: 0.817, pos: 0.127, 
compound: 0.9407, neg: 0.033, neu: 0.851, pos: 0.116, 
compound: 0.9221, neg: 0.08, neu: 0.791, pos: 0.129, 
compound: 0.8346, neg: 0.055, neu: 0.856, pos: 0.089, 
compound: -0.9596, neg: 0.096, neu: 0.856, pos: 0.048, 
compound: -0.1531, neg: 0.128, neu: 0.737, pos: 0.135, 
compound: 0.9735, neg: 0.033, neu: 0.839, pos: 0.128, 
compound: 0.9379, neg: 0.089, neu: 0.77, pos: 0.14, 
compound: 0.9505, neg: 0.026, neu: 0.861, pos: 0.113, 
compound: 0.9978, neg: 0.074, neu: 0.712, pos: 0.214, 
compound: 0.9713, neg: 0.052, neu: 0.815, pos: 0.133, 
compound: 0.8981, neg: 0.115, neu: 0.736, pos: 0.149, 
compound: 0.9779, neg: 0.039, neu: 0.826, pos: 0.135, 
compound: 0.2404, neg: 0.037, neu: 0.909, pos: 0.054, 
compound: -0.2086, neg: 0.161, neu: 0.68, pos: 0.159, 
compound: 0.9652, neg: 0.064, neu: 0.812, pos: 0.124, 
compound: 0.6944, neg: 0.081, neu: 0.821, pos: 0.098, 
compound: 0.999, neg: 0.019, neu: 0.761, pos: 0.22, 
compound: 0.7717, neg: 0.039, neu: 0.881, pos: 0.08, 
compound: -0.9612, neg: 0.15, neu: 0.837, pos: 0.013, 
compound: 0.9871, neg: 0.095, neu: 0.757, pos: 0.148, 
compound: 0.9096, neg: 0.048, neu: 0.849, pos: 0.103, 
compound: -0.9003, neg: 0.114, neu: 0.847, pos: 0.039, 
compound: -0.9532, neg: 0.099, neu: 0.857, pos: 0.044, 
compound: 0.9374, neg: 0.025, neu: 0.833, pos: 0.142, 
compound: 0.9648, neg: 0.021, neu: 0.876, pos: 0.103, 
compound: -0.546, neg: 0.076, neu: 0.861, pos: 0.063, 
compound: -0.9166, neg: 0.124, neu: 0.771, pos: 0.105, 
compound: -0.4404, neg: 0.066, neu: 0.889, pos: 0.045, 
compound: 0.994, neg: 0.036, neu: 0.803, pos: 0.16, 
compound: 0.6124, neg: 0.03, neu: 0.905, pos: 0.064, 
compound: 0.2144, neg: 0.018, neu: 0.959, pos: 0.023, 
compound: 0.4988, neg: 0.123, neu: 0.746, pos: 0.131, 
compound: 0.9545, neg: 0.048, neu: 0.855, pos: 0.097, 
compound: 0.9952, neg: 0.063, neu: 0.702, pos: 0.235, 
compound: -0.9352, neg: 0.127, neu: 0.818, pos: 0.054, 
compound: 0.997, neg: 0.061, neu: 0.79, pos: 0.149, 
compound: 0.989, neg: 0.08, neu: 0.794, pos: 0.126, 
compound: 0.9968, neg: 0.047, neu: 0.784, pos: 0.169, 
compound: 0.9968, neg: 0.047, neu: 0.784, pos: 0.169, 
compound: 0.9783, neg: 0.032, neu: 0.837, pos: 0.131, 
compound: 0.9732, neg: 0.023, neu: 0.835, pos: 0.142, 
compound: 0.9488, neg: 0.056, neu: 0.809, pos: 0.135, 
compound: 0.997, neg: 0.026, neu: 0.742, pos: 0.232, 
compound: -0.9831, neg: 0.172, neu: 0.817, pos: 0.011, 
compound: 0.82, neg: 0.079, neu: 0.821, pos: 0.101, 
compound: 0.1645, neg: 0.085, neu: 0.822, pos: 0.093, 
compound: 0.9807, neg: 0.022, neu: 0.847, pos: 0.132, 
compound: -0.296, neg: 0.055, neu: 0.891, pos: 0.054, 
compound: 0.9832, neg: 0.037, neu: 0.86, pos: 0.104, 
compound: 0.9291, neg: 0.056, neu: 0.837, pos: 0.106, 
compound: -0.9323, neg: 0.146, neu: 0.811, pos: 0.044, 
compound: 0.9844, neg: 0.071, neu: 0.797, pos: 0.132, 
compound: 0.9952, neg: 0.0, neu: 0.81, pos: 0.19, 
compound: -0.9834, neg: 0.148, neu: 0.793, pos: 0.059, 
compound: 0.6729, neg: 0.086, neu: 0.805, pos: 0.108, 
compound: 0.1356, neg: 0.083, neu: 0.824, pos: 0.093, 
compound: 0.2846, neg: 0.098, neu: 0.811, pos: 0.092, 
compound: -0.9762, neg: 0.138, neu: 0.809, pos: 0.053, 
compound: 0.9918, neg: 0.067, neu: 0.709, pos: 0.223, 
compound: -0.875, neg: 0.095, neu: 0.877, pos: 0.027, 
compound: 0.771, neg: 0.049, neu: 0.858, pos: 0.093, 
compound: 0.9607, neg: 0.03, neu: 0.875, pos: 0.095, 
compound: 0.9932, neg: 0.055, neu: 0.745, pos: 0.2, 
compound: -0.5787, neg: 0.084, neu: 0.846, pos: 0.07, 
compound: 0.9925, neg: 0.006, neu: 0.874, pos: 0.12, 
compound: 0.9946, neg: 0.009, neu: 0.839, pos: 0.152, 
compound: 0.9954, neg: 0.089, neu: 0.744, pos: 0.167, 
compound: 0.9861, neg: 0.023, neu: 0.861, pos: 0.115, 
compound: 0.9897, neg: 0.052, neu: 0.808, pos: 0.14, 
compound: -0.6369, neg: 0.054, neu: 0.92, pos: 0.025, 
compound: -0.0956, neg: 0.067, neu: 0.861, pos: 0.072, 
compound: 0.9884, neg: 0.055, neu: 0.776, pos: 0.169, 
compound: -0.3618, neg: 0.099, neu: 0.8, pos: 0.1, 
compound: 0.994, neg: 0.059, neu: 0.743, pos: 0.198, 
compound: 0.9977, neg: 0.083, neu: 0.74, pos: 0.176, 
compound: 0.91, neg: 0.036, neu: 0.882, pos: 0.082, 
compound: 0.9576, neg: 0.048, neu: 0.785, pos: 0.167, 
compound: 0.979, neg: 0.092, neu: 0.718, pos: 0.191, 
compound: 0.9953, neg: 0.034, neu: 0.791, pos: 0.175, 
compound: 0.9984, neg: 0.059, neu: 0.691, pos: 0.25, 
compound: 0.8934, neg: 0.0, neu: 0.928, pos: 0.072, 
compound: 0.8316, neg: 0.065, neu: 0.8, pos: 0.135, 
compound: 0.8519, neg: 0.023, neu: 0.921, pos: 0.056, 
compound: 0.9963, neg: 0.053, neu: 0.778, pos: 0.169, 
compound: 0.9961, neg: 0.023, neu: 0.803, pos: 0.174, 
compound: 0.9859, neg: 0.022, neu: 0.738, pos: 0.24, 
compound: 0.7022, neg: 0.023, neu: 0.912, pos: 0.065, 
compound: 0.8467, neg: 0.072, neu: 0.841, pos: 0.087, 
compound: 0.9831, neg: 0.017, neu: 0.897, pos: 0.086, 
compound: 0.2174, neg: 0.065, neu: 0.856, pos: 0.079, 
compound: -0.9952, neg: 0.283, neu: 0.65, pos: 0.067, 
compound: -0.9793, neg: 0.122, neu: 0.791, pos: 0.087, 
compound: 0.9911, neg: 0.04, neu: 0.789, pos: 0.171, 
compound: 0.9169, neg: 0.026, neu: 0.875, pos: 0.098, 
compound: 0.6646, neg: 0.076, neu: 0.82, pos: 0.104, 
compound: 0.989, neg: 0.038, neu: 0.711, pos: 0.251, 
compound: 0.9976, neg: 0.052, neu: 0.766, pos: 0.181, 
