compound: 0.9354, neg: 0.028, neu: 0.914, pos: 0.058, 
compound: 0.9357, neg: 0.035, neu: 0.905, pos: 0.06, 
compound: 0.9989, neg: 0.04, neu: 0.801, pos: 0.159, 
compound: 0.7103, neg: 0.05, neu: 0.866, pos: 0.085, 
compound: 0.9801, neg: 0.044, neu: 0.845, pos: 0.111, 
compound: 0.9867, neg: 0.011, neu: 0.901, pos: 0.087, 
compound: 0.9807, neg: 0.042, neu: 0.866, pos: 0.091, 
compound: 0.8883, neg: 0.031, neu: 0.886, pos: 0.083, 
compound: -0.9777, neg: 0.114, neu: 0.845, pos: 0.041, 
compound: -0.9374, neg: 0.076, neu: 0.875, pos: 0.049, 
compound: 0.9645, neg: 0.052, neu: 0.85, pos: 0.098, 
compound: 0.9895, neg: 0.021, neu: 0.869, pos: 0.11, 
compound: 0.8481, neg: 0.024, neu: 0.926, pos: 0.05, 
compound: 0.9926, neg: 0.02, neu: 0.882, pos: 0.098, 
compound: 0.9776, neg: 0.0, neu: 0.909, pos: 0.091, 
compound: 0.9041, neg: 0.026, neu: 0.926, pos: 0.049, 
compound: 0.7665, neg: 0.041, neu: 0.917, pos: 0.042, 
compound: 0.9989, neg: 0.027, neu: 0.839, pos: 0.134, 
compound: 0.9956, neg: 0.022, neu: 0.783, pos: 0.195, 
compound: 0.6808, neg: 0.059, neu: 0.856, pos: 0.085, 
compound: 0.9876, neg: 0.028, neu: 0.883, pos: 0.088, 
compound: -0.7003, neg: 0.097, neu: 0.826, pos: 0.078, 
compound: 0.9735, neg: 0.0, neu: 0.933, pos: 0.067, 
compound: -0.6655, neg: 0.08, neu: 0.868, pos: 0.052, 
compound: 0.9233, neg: 0.093, neu: 0.774, pos: 0.133, 
compound: 0.954, neg: 0.027, neu: 0.888, pos: 0.085, 
compound: -0.9777, neg: 0.104, neu: 0.858, pos: 0.038, 
compound: -0.9926, neg: 0.183, neu: 0.708, pos: 0.109, 
compound: 0.9604, neg: 0.007, neu: 0.917, pos: 0.076, 
compound: -0.8442, neg: 0.051, neu: 0.917, pos: 0.032, 
compound: -0.9905, neg: 0.1, neu: 0.869, pos: 0.031, 
compound: 0.9889, neg: 0.013, neu: 0.855, pos: 0.132, 
compound: 0.9322, neg: 0.137, neu: 0.71, pos: 0.153, 
compound: 0.9944, neg: 0.064, neu: 0.728, pos: 0.208, 
compound: 0.9818, neg: 0.019, neu: 0.868, pos: 0.113, 
compound: 0.9448, neg: 0.0, neu: 0.93, pos: 0.07, 
compound: 0.975, neg: 0.003, neu: 0.923, pos: 0.073, 
compound: 0.9608, neg: 0.027, neu: 0.897, pos: 0.076, 
compound: 0.9788, neg: 0.04, neu: 0.843, pos: 0.118, 
compound: -0.9313, neg: 0.105, neu: 0.841, pos: 0.055, 
compound: -0.9821, neg: 0.107, neu: 0.837, pos: 0.056, 
compound: 0.9947, neg: 0.006, neu: 0.898, pos: 0.096, 
compound: 0.9771, neg: 0.086, neu: 0.795, pos: 0.118, 
compound: 0.9719, neg: 0.02, neu: 0.886, pos: 0.094, 
compound: 0.9985, neg: 0.028, neu: 0.837, pos: 0.135, 
compound: 0.9931, neg: 0.044, neu: 0.843, pos: 0.113, 
compound: 0.9986, neg: 0.031, neu: 0.813, pos: 0.155, 
compound: 0.9963, neg: 0.03, neu: 0.822, pos: 0.149, 
compound: 0.9245, neg: 0.038, neu: 0.875, pos: 0.087, 
compound: 0.9774, neg: 0.047, neu: 0.866, pos: 0.087, 
compound: 0.9741, neg: 0.033, neu: 0.884, pos: 0.083, 
compound: 0.9977, neg: 0.032, neu: 0.839, pos: 0.129, 
compound: 0.9941, neg: 0.082, neu: 0.753, pos: 0.165, 
compound: 0.9313, neg: 0.029, neu: 0.893, pos: 0.078, 
compound: -0.9819, neg: 0.12, neu: 0.825, pos: 0.055, 
compound: -0.7902, neg: 0.079, neu: 0.858, pos: 0.063, 
compound: 0.9678, neg: 0.006, neu: 0.885, pos: 0.109, 
compound: 0.9579, neg: 0.008, neu: 0.918, pos: 0.074, 
compound: 0.9696, neg: 0.036, neu: 0.887, pos: 0.077, 
compound: 0.9928, neg: 0.014, neu: 0.843, pos: 0.143, 
compound: 0.9927, neg: 0.031, neu: 0.848, pos: 0.122, 
compound: 0.9994, neg: 0.086, neu: 0.71, pos: 0.204, 
compound: 0.9866, neg: 0.014, neu: 0.899, pos: 0.087, 
compound: 0.9051, neg: 0.051, neu: 0.87, pos: 0.079, 
compound: 0.9817, neg: 0.032, neu: 0.862, pos: 0.106, 
